Name,Y,X
1201 S Figueroa St,34.040539,-118.271387
9530 Telstar Ave,34.06872,-118.064
10666 N Torrey Pines Rd,32.89947,-117.243
15421 Roscoe Blvd,34.221665,-118.468371
1299 Galleria at Tyler,33.909914,-117.459053
150 E Holly St,34.14762,-118.147111
45 De Lacey Ave,34.145138,-118.152655
33 E Green St,34.145119,-118.150133
200 S Pine Ave,33.7637,-118.192
1 World Way,33.94325,-118.403342
9301 Tampa Ave,34.2387162,-118.554686
700 N Haven Ave,34.07122,-117.575
600 E Esplanade Dr,34.228315,-119.170865
400 E Tahquitz Canyon Way,33.824004,-116.543589
5425 Wilson St,34.0189,-117.38
Lindbergh Dr,38.69005,-121.58889
3223 Donald Douglas Loop,34.017081,-118.44704
200 Santa Monica Pier,34.010021,-118.49583
14006 Riverside Dr,34.1564065,-118.4389655
7724 Van Nuys Blvd,34.211366,-118.448346
7075 Firestone Blvd,33.94756,-118.153806
555 N Point St,37.80619,-122.4152
1689 Arden Way,38.599693,-121.427045
2 New Montgomery St,37.78881,-122.401
999 California St,37.791791,-122.411265
135 N Grand Ave,34.057657,-118.24789
18111 Nordhoff St,34.248959,-118.523887
18111 Nordhoff St,34.241687,-118.528543
18111 Nordhoff St,34.236853,-118.532588
8775 Wilbur Ave,34.22947,-118.544934
425 S Palos Verdes St,33.740758,-118.28192
Village Way Dr,34.293717,-118.449219
1200 Getty Center Dr,34.077588,-118.474585
301 N Baldwin Ave,34.145528,-118.050548
114 S Vista Bonita Ave,34.13556,-117.864
6161 Centinela Ave,33.9826,-118.3966
8800 Venice Blvd,34.029971,-118.385231
2800 N Main St,33.777054,-117.870566
1 University Dr,34.16657601660278,-119.0458547
101 S Brea Blvd,33.919899,-117.898618
2745 Teller Rd,34.192178,-118.934793
Casitas Pass Rd & Baldwin Rd,34.418322,-119.3368
205 S San Dimas Ave,34.105275,-117.809208
100 N El Molino Ave,34.147709,-118.136621
800 S Victoria Ave,34.267352,-119.2124
669 County Square Dr,34.268756,-119.2154
3295 E Main St,34.268,-119.2492
1441 Research Park Dr,38.539336,-121.732405
11601 Fair Oaks Blvd,38.66292,-121.2634
2901 K St,38.57277,-121.467902
4235 Antelope Rd,38.7042,-121.365
4860 Y St,38.552483,-121.4487
5600 S Land Park Dr,38.524403,-121.5112
Mosquito Rd & Clay St,38.73323,-120.78962
1000 Ulatis Dr,38.356027,-121.9628
155 Browns Valley Pkwy,38.36557,-121.967
190 Hickory Ln,38.35172,-121.987
40 Eldridge Ave,38.356907,-122.001886
500 Catherine St,38.355867,-121.9862
650 Merchant St,38.351758,-121.994475
6360 Fountain Square Dr,38.682605,-121.297614
2850 Fairlane Ct,38.72799,-120.828
4640 Post St,38.6476,-121.067
8455 Auburn-Folsom Rd,38.74453,-121.17
5605 Marconi Ave,38.618066,-121.334337
1 Main St,38.15485,-121.69
1000 Webster St,38.25281,-122.044229
4000 Suisun Valley Rd,38.23723,-122.123
1 World Way,33.944761,-118.399767
1200 Airport Dr,44.469281,-73.154972
420 College St,47.044011,-122.822404
1945 SE Water Ave,45.508396,-122.664667
N Oak St & W Standley St,39.15,-123.2091
1651 E Monte Vista Ave,38.368755,-121.961192
817 4th St,38.54643,-121.7388
840 2nd St,38.5443,-121.738
6 Howard Way,38.544538,-121.749713
315 Mace Blvd,38.55755,-121.6947
2323 Rockwell Dr,38.569412,-121.721373
4500 Silva St,33.84788,-118.13889
101 E Sir Francis Drake Blvd,37.94495,-122.5096
1 Airport Dr,37.7136,-122.2087
17801 Pacific Hwy S,47.443377,-122.296229
123 W Hill St,40.119161,-88.244185
131 W Myrtle St,43.608009,-116.197968
2000 Cadenasso Dr,38.2482,-122.0678
1226 SW 50th St,44.928439,-124.015824
100 W Anderson Street,28.535975,-81.379663
1221 Williamson St,43.083979,-89.363091
Ellingson Rd SW,44.586123,-123.115389
1551 Froom Ranch Way,35.249929,-120.689683
319 Madonna Rd,35.25982,-120.676
1411 E Mission Ave,47.673347,-117.388933
130 S Post St,47.65579218,-117.4236637
2110 Guthrie Ave,41.615759,-93.57875
5800 Northglenn Dr,41.682385,-93.698315
9855 E Speedway Blvd,32.236156,-110.781792
1000 Sam Weinroth Rd,40.286518,-74.807516
4000 E 30th Ave,44.009797,-123.033213
300 Clay St,29.756604,-95.372854
5956 Calle Real,34.44198,-119.829553
50 E Ohio St,41.892757,-87.626038
100 Dunbar St,34.950136,-81.93279
130 E Saint John St,34.951926,-81.931714
101 Sharpe Ave,34.715982,-81.624616
350 Grasmere Ave,41.157925,-73.240315
155 Temple St,41.305794,-72.927405
161 Water St,41.355486,-72.093784
1 Railroad Pl,41.119291,-73.369266
1186 South St,41.951328,-72.663078
4940 88th Avenue,42.592469,-87.915847
1611 Aspen Commons,43.091229,-89.52884
7100 Euclid Ave,41.503373,-81.639054
116 5th Ave,38.417603,-82.456866
9899 International Drive,28.429015,-81.458938
2023 Westport Center Dr,38.694036,-90.4218
150 E Main St,45.522609,-122.988535
253 SE 8th Ave,45.520533,-122.978089
450 110th Ave NE,47.614744,-122.193162
1945 SE Water Ave,45.509326,-122.666392
520 E,40.74686,-111.876
12345 College Blvd,38.92591,-94.72819
423 Russell St,42.36262,-72.5395
200 NE 1st Ave,26.465314,-80.07219
1755 Highlands Dr NE,47.545324,-122.0195
1 Seaport Ln,42.349249,-71.041557
1100 Taylor St,34.00741493349311,-81.0348006
1100 Washington St,34.003323,-81.035693
1812 Lincoln St,34.008409,-81.041802
820 Washington St,34.002255,-81.040219
150 Cleveland Park Dr,34.84709,-82.387269
25 W McBee Ave,34.849724,-82.400667
316 S Spring St,34.849889,-82.397797
320 N Church St,34.852754,-82.393113
1007 Park St,33.997786,-81.036161
60 Beattie Pl,34.852789,-82.396195
65 Beattie Pl,34.85335,-82.394826
66 Richardson St,34.852437,-82.399901
121 E Black St,34.925782,-81.028444
1466 Cherry Rd,34.954788,-81.013242
725 Rice Ave,34.716556,-81.648482
420 River St,34.77993955183312,-81.45735907
801 Santa Monica Blvd,34.019875,-118.49151
55 Cyril Magnin,37.784871,-122.408991
655 Beach St,37.806798,-122.419488
333 Civic Center Dr,34.010528,-118.4898
8100 Tower Rd,39.843886,-104.771138
124 E Coal Creek Dr,39.953798,-105.166116
1 Bennett St,42.372442,-71.122882
1 Town Square,41.492057,-87.522819
29 Gay Ave SE,42.962078,-85.659019
100 E Phoenix Ave,40.507796,-88.982897
101 W Mulberry St,40.511172,-88.984985
625 E Prien Lake Rd,30.198704,-93.212318
18500 Campus Way NE,47.761878,-122.191915
15670 NE 85th St,47.679224,-122.12995
18080 NE 76th St,47.672359,-122.099034
14580 NE 145th St,47.734211,-122.147041
5973 Executive Dr,43.011411,-89.459112
6825 University Ave,43.096636,-89.500008
285 W Hargett St,35.778416,-78.64347
215 W Cabarrus St,35.77435,-78.642287
4914 S IH-35,30.206145,-97.759109
693 S Orchard Ave,39.1458,-123.198497
120 Wilson St,36.910575,-80.31736
1111 W Broad St,37.551409,-77.45233
101 S Illinois Ave,36.010279,-84.268049
2801 Highway 231 N,35.558371,-86.448276
818 E Overland Trail,32.408909,-99.771463
4700 S Soncy Rd,35.159354,-101.938937
1320 E Interstate 20,32.676458,-97.087169
9160A Research Blvd,30.374542,-97.731445
5445 I-10 E,29.80725299717069,-94.97383365
1515 Interstate 10 S,30.062535,-94.133511
310 Airport Fwy,32.839339,-97.160994
1001 Earl Rudder Fwy S,30.639201,-96.30671
3000 S Padre Island Dr,27.73082,-97.416019
39690 Lyndon B Johnson Fwy,32.646784,-96.863492
2010 US Highway 75 N,33.775328,-96.58308
5855 Montana Ave,31.783928,-106.417267
1310 N Zaragoza Rd,31.724024,-106.302211
3451 W Loop 820 S,32.721585,-97.478539
1401 W State Highway 114,32.928183,-97.09448
3500 W Expressway 83,26.186259,-97.734663
19630 Northwest Fwy,29.913418,-95.611942
2901 S Loop W,29.676558,-95.422537
11911 Gulf Fwy,29.625565,-95.22531
12150 Katy Fwy,29.785494,-95.60022
15300 North Fwy,29.990205,-95.423096
18711 Highway 59 N,29.990275,-95.275606
1500 E Airport Fwy,32.849437,-96.914294
25550 Kingsland Blvd,29.775354,-95.817237
5501 E Central Texas Expy,31.078549,-97.692745
2501 S US Highway 77,27.492086,-97.84753
3701 E Saunders St,27.528418,-99.458211
2150 Gulf Fwy,29.484543,-95.10255
1601 S Stemmons Fwy,33.022937,-96.988337
3114 N Eastman Rd,32.553772,-94.727241
6312 Milwaukee Ave,33.535048,-101.958266
3800 S Central Expy,33.161606,-96.644662
5031 N Galloway Ave,32.829838,-96.629967
4800 W Loop 250,32.024113,-102.151567
10549 Highway 69,29.953433,-94.0071
1777 N Central Expy,32.97135,-96.719803
26001 Southwest Fwy,29.534537,-95.772812
3050 N IH-35,30.54315305,-97.69371065
4052 W Houston Harte Expy,31.44646,-100.496244
10835 IH-10 W,29.543147,-98.57544
750 NE Loop 410,29.517253,-98.467365
6990 NW Loop 410,29.457047,-98.625324
12908 IH-35 N,29.556508,-98.34469
2980 S IH-35,30.4963137,-97.6809454
3480 Highway 96 Bypass,30.314894,-94.18396
12230 Southwest Fwy,29.645808,-95.57612
5420 Midway Dr,31.079653,-97.410328
3201 W-SW Loop 323,32.31165413012184,-95.34249986
6003 N Navarro St,28.851423,-96.997881
5605 Legendlake Pkwy,31.495348,-97.160226
3050 Fort Worth Hwy,32.7561,-97.705239
4000 Kell Blvd,33.88049,-98.545953
150 S Pickett St,38.809675,-77.122192
14840 Stonecroft Center Ct,38.899751,-77.460168
200 Myers Dr,38.086121,-78.474663
11010 Fairfax Blvd,38.85358,-77.324803
1134 W Mercury Blvd,37.042363,-76.388316
9010 Liberia Ave,38.760854,-77.459274
2500 W Broad St,37.561646,-77.465974
6520 Peters Creek Rd,37.345779,-79.962578
45155 Towlern Pl,39.010459,-77.438399
8525 Leesburg Pike,38.927033,-77.240836
1230 Millwood Pike,39.156514,-78.147297
1516 Iowa St,48.755607,-122.454132
5101 Auto Center Blvd,47.562162,-122.684286
16042 1st Ave S,47.458466,-122.333257
24325 Highway 99,47.778229,-122.344838
2220 Carriage Dr SW,47.031067,-122.930247
928 N 28th Ave,46.236607,-119.128998
53 Jetta Way,48.102863,-123.342273
101 Valley Ave NW,47.207367,-122.294997
3401 E Valley Rd,47.448354,-122.2188
9000 N Division St,47.739021,-117.409937
6901 E Sprague Ave,47.657264,-117.312518
4030 S Tacoma Way,47.21978,-122.48576
3608 NE Auto Mall Dr,45.648094,-122.597954
1395 Dalles Military Rd,46.047464,-118.353406
2100 S Market St,35.030251,-85.308376
185 Highway 76,36.513006,-87.268667
501 Neal St,36.137109,-85.496453
2219 Highway 46 S,36.023934,-87.340223
2700 Parr Ave,36.063277,-89.379485
212 Comtide Ct,35.957857,-86.80853
1461 Nashville Pike,36.361376,-86.494932
3602 Bristol Hwy,36.374198,-82.372119
2733 E Stone Dr,36.551978,-82.487762
8565 Kingston Pike,35.920587,-84.067881
4515 Clinton Hwy,35.999617,-83.969451
1550 Gallatin Pike N,36.29062,-86.7051
2747 Hillsboro Hwy,35.454702,-86.041805
841 N Lindell St,36.369277,-88.849653
4140 Hacks Cross Rd,35.0353,-89.795859
2080 Covington Pike,35.181031,-89.895533
5496 W Andrew Johnson Hwy,36.18226,-83.382387
814 Memorial Blvd,35.854156,-86.394979
307 Thompson Ln,36.110606,-86.743585
25 Vantage Way,36.191053,-86.793132
3855 SW Cedar Hills Blvd,45.491783,-122.81107
1835 NE Highway 20,44.055213,-121.277279
900 NW 4th St,44.572608,-123.258425
2060 Martin Luther King,44.05902085037804,-123.0813975
19505 SE McLoughlin Blvd,45.378967,-122.603899
1925 N Highway 99W,45.227394,-123.180863
4560 Grumman Dr,42.379969,-122.858192
1212 NE 122nd Ave,45.531759,-122.537403
2755 Mission St SE,44.921582,-123.006236
2400 W 6th St,45.613979,-121.20996
26700 SW 95th Ave,45.326814,-122.770853
3670 Fernandina Rd,34.055164,-81.128164
5536 Sunset Blvd,33.997902,-81.222504
3247 Airport Hwy,35.830725,-83.974822
2956 N Germantown Rd,35.205818,-89.791337
235 Century Blvd,36.54282,-82.2354
2121 Chapman Rd,35.056433,-85.190515
1640 Montgomery Hwy,33.394903,-86.807186
29788 Fredrick Blvd,30.660697,-87.858464
2402 Highway 31 S,34.563857,-86.972193
227 Eastern Bypass,32.376832,-86.208559
10305 W Papago Fwy,33.459826,-112.284168
1350 S Gilbert Rd,33.286316,-111.791107
3842 N Highway 95,34.54217,-114.35287
6354 E Test Dr,33.385361,-111.695062
2025 W Riverview Auto Dr,33.434313,-111.872266
9151 W Bell Rd,33.636921,-112.253682
1300 E Camelback Rd,33.509862,-112.054162
13301 N Autoshow Ave,33.605183,-112.420442
2209 W Bell Rd,33.639038,-112.108088
7601 E Frank Lloyd Wright Blvd,33.635224,-111.915739
7755 S Autoplex Loop,33.346812,-111.967793
800 W Auto Mall Dr,32.289823,-110.985646
5163 E 22nd St,32.207374,-110.881798
1831 Auto Center Dr,38.007799,-121.832042
2800 Pacheco Rd,35.310723,-119.035324
6501 Auto Center Dr,33.865497,-117.995215
1505 E 223rd St,33.824968,-118.245675
68177 Kyle Rd,33.78414,-116.471
18707 Studebaker Rd,33.861544,-118.100471
575 Manzanita Ave,39.756332,-121.843715
17320 E Gale Ave,33.997621,-117.928216
370 W Herndon Ave,36.836818,-119.717629
1500 Collins Ave,37.671267,-122.463541
1290 Concord Ave,37.980192,-122.050128
2575 Wardlow Rd,33.88309,-117.615292
2850 Harbor Blvd,33.675397,-117.918684
5009 Chiles Rd,38.55252,-121.691555
7321 Firestone Blvd,33.9473,-118.151166
1434 Buena Vista St,34.136553,-117.975944
1170 W Main St,32.795896,-116.976156
3428 N Peck Rd,34.069536,-118.026911
8590 Laguna Grove Dr,38.402217,-121.385527
1546 Auto Park Way,33.116492,-117.106837
601 7th St,40.800562,-124.164405
12610 Auto Mall Cir,38.634132,-121.204871
16444 S Highland Ave,34.135345,-117.445732
5701 Cushing Pkwy,37.489389,-121.9576
5580 N Blackstone Ave,36.818622,-119.789796
9222 Trask Ave,33.766376,-117.968337
1670 W Redondo Beach Blvd,33.889201,-118.307028
400 Automall Dr,36.996869,-121.558573
727 S Brand Blvd,34.137054,-118.25536
425 S Kellogg Ave,34.43427,-119.820934
24644 Mission Blvd,37.662305,-122.075178
200 Carriage Cir,33.741163,-117.031718
17331 Beach Blvd,33.71069,-117.989861
32 Auto Center Dr,33.632505,-117.723298
79125 Highway 111,33.70711,-116.283712
635 W Washington Blvd,34.035168,-118.273229
3550 Cahuenga Blvd W,34.133446,-118.356601
1675 Auto Center Dr,37.305891,-120.502428
11000 Sepulveda Blvd,34.269809,-118.466606
4530 McHenry Ave,37.705119,-120.99471
9440 Autoplex Dr,34.082404,-117.694876
1665 Industrial Park Ave,34.065387,-117.212007
510 Soscol Ave,38.292706,-122.277767
2700 National City Blvd,32.659001,-117.100836
3535 College Blvd,33.181953,-117.298334
1140 W Katella Ave,33.80857,-117.864434
1801 Auto Center Dr,34.22771,-119.150217
451 Auto Center Dr,34.591173,-118.138184
1250 Auto Center Dr,38.267202,-122.665068
14100 Poway Rd,32.956772,-117.025943
300 E Cypress Ave,40.571632,-122.36654
1 Bair Island Rd,37.495963,-122.227322
3277 Auto Plaza,37.985253,-122.32124
6030 Sycamore Canyon Blvd,33.941878,-117.297603
8330 Indiana Ave,33.925469,-117.419673
600 Automall Dr,38.752198,-121.256452
2820 Auburn Blvd,38.631393,-121.396604
222 Auto Center Cir,36.720023,-121.662519
735 Showcase Dr S,34.074378,-117.298
8118 Clairemont Mesa Blvd,32.833179,-117.147384
4433 Mission Bay Dr,32.802475,-117.215269
680 E El Camino Real,37.359362,-122.022783
1120 W Capitol Expy,37.275144,-121.877656
33633 Camino Capistrano,33.47443,-117.676142
1152 Marina Blvd,37.712609,-122.162746
12150 Los Osos Valley Rd,35.25062,-120.68455
4855 Stevens Creek Blvd,37.323569,-121.988027
1275 Santa Rosa Ave,38.425537,-122.714089
1661 Del Monte Blvd,36.611189,-121.849899
5425 Van Nuys Blvd,34.168824,-118.449059
2325 1st St,34.277324,-118.778957
3077 E Hammer Ln,38.022022,-121.275339
41895 Motor Car Pkwy,33.516768,-117.155039
3195 N Naglee Rd,37.75990555387505,-121.4632052
30 Auto Center Dr,33.72484,-117.799302
671 Orange Dr,38.381441,-121.941218
24111 Creekside Rd,34.420546,-118.557774
3287 Sonoma Blvd,38.118088,-122.255493
15722 Valley Park Ln,34.517883,-117.3219
830 S Ben Maddox Way,36.32327,-119.27569
205 N Citrus St,34.074227,-117.890899
1611 Cortez Rd W,27.462023,-82.578036
937 S Suncoast Blvd,28.848733,-82.57947
2600 S Woodland Blvd,28.983689,-81.300079
2200 S Federal Hwy,26.435016,-80.072333
1051 S Federal Hwy,26.109825,-80.137099
1726 Cassat Ave,30.288306,-81.730832
7447 Blanding Blvd,30.212415,-81.736209
4262 W US 90,30.18082,-82.702224
10500 NW 12th St,25.783121,-80.366772
16725 NW 57th Ave,25.9262,-80.292105
3345 SW 8th St,25.76506,-80.250516
17305 S Dixie Hwy,25.609391,-80.348241
8890 Pines Blvd,26.007358,-80.263072
1700 Flare Rd,27.485756,-81.481603
4313 S Federal Hwy,27.152729,-80.217708
3800 W Hillsborough Ave,27.995139,-82.506186
11001 N Florida Ave,28.049764,-82.458596
946 S US Highway 1,27.585356,-80.376442
6401 Cypress Gardens Blvd,27.982961,-81.676059
3520 Highway 20,34.075281,-83.98366
2551 The Nalley Way,33.907866,-84.283186
2555 Pleasant Hill Rd,33.967935,-84.146036
4275 Highway 78,33.841932,-83.905677
811 Thornton Rd,33.784015,-84.612737
925 Cobb Pkwy SE,33.92909,-84.50889
6889 Jonesboro Rd,33.566938,-84.344405
1090 Holcomb Bridge Rd,34.022437,-84.327529
4080 Jonesboro Rd,33.565412,-84.521117
839 Warren Dr,32.555572,-83.66552
2295 N King St,21.335175,-157.88225
260 Hana Hwy,20.8891,-156.458605
45-568 Kamehameha Hwy,21.399116,-157.799326
94-1299 Ka Uka Blvd,21.42849,-157.998343
200 N Holliday St,39.291785,-76.610539
1506 Bel Air Rd,39.505659,-76.382317
800 S Rolling Rd,39.256947,-76.730918
7418 Grove Rd,39.391175,-77.407835
19574 Amaranth Dr,39.177414,-77.249773
5000 Auth Way,38.82681,-76.923233
15911 Indianola Dr,39.113757,-77.161016
3131 Automobile Blvd,39.077447,-76.947933
10 W 6th St,44.946327,-93.095535
477 Cedar St,44.948972,-93.0962
967 Concord Pkwy S,35.392063,-80.622777
4559 Raeford Rd,35.042419,-78.956747
1810 S Main St,35.937981,-79.996012
1949 Roberts Ave,34.634487,-78.997134
1905 Westmoreland St,37.578536,-77.48754
6100 Neil Rd,39.467032,-119.779038
505 Barton Springs Rd,30.256917,-97.749169
2130 N Franklin St,37.1581,-80.4203
11841 Midlothian Turnpike,37.50418,-77.61949
601 108th Ave NE,47.616104,-122.19696
10900 NE 4th St,47.61434,-122.194037
1726 Eagan Rd,43.121878,-89.309902
7428 Terrace Ave,43.094649,-89.50964
127 E 8th St,42.790376,-86.101511
2 Exchange St,34.756982,-82.383799
2403 Centreville Rd,38.951695,-77.409238
301 University Ridge,34.840912,-82.400037
3300 Poinsett Hwy,34.926241,-82.433164
210 Military Trail,26.9322,-80.1027
3388 Auburn Rd,42.6336,-83.220931
1777 3rd St,42.33476,-83.0608
176 N Adams Rd,42.682914,-83.193236
101 E Henry St,42.166498,-83.780162
11000 Pleasant Valley Rd,41.36684,-81.7638
12500 Crystal Mountain Dr,44.520371,-85.991356
351 Dubois Ave,39.001676,-76.525253
4600 W Broad St,37.578775,-77.489409
200 N Main St,42.455,-83.131111
1 E Lenoir St,35.772881,-78.638502
128 W South St,35.772619,-78.641492
117 S Wilmington St,35.77937,-78.638203
481 Stadium St,42.187149,-122.689496
5900 Peachtree Industrial Blvd,33.90999,-84.2914
10000 W O'Hare Ave,41.97850582311076,-87.90328
1907 W Markham Ave,36.009999,-78.921405
120 Saxe Gotha Rd,33.931732,-81.059303
2811 E Central Ave,36.379802,-94.177871
1725 NW 86th St,41.607327,-93.735902
1601 W Burlington Ave,41.00709,-91.981752
4860 NW Urbandale Dr,41.645933,-93.769432
3225 Ruth B Swann Dr,38.623533,-77.086898
12480 Crain Hwy,38.369101,-76.960389
2045 Highway 99 N,42.219548,-122.740005
420 Henry St,37.764986,-77.476715
6226 W Sahara Ave,36.145081,-115.227058
1980 GSP Dr,34.889453,-82.215505
7201 Levander Loop,30.251357,-97.689015
1009 W Dittmar Rd,30.18534,-97.801184
12500 Amherst Dr,30.422284,-97.71646
710 Trinity St,30.268887,-97.738936
89 W Bruce St,38.447533,-78.870744
840 E Elm St,45.256075,-94.107832
215 W Center St,36.547921,-82.56179
5530 Lacy Rd,43.002006,-89.423463
415 N Lake St,43.074008,-89.397267
1339 Vilas Park Dr,43.058323,-89.410359
871 Marsh St,35.279705,-120.6609
11408 Raven Ridge Rd,35.92353,-78.599883
214 Columbia St,47.604115,-122.332907
14470 SW Allen Blvd,45.475962,-122.825561
7016 Infantry Ridge Rd,38.803836,-77.516487
4800 S 188th St,47.434021,-122.273183
2201 2nd St,26.642789,-81.869132
3800 Gardenia Ave,28.503733,-81.422651
901 E Twiggs St,27.951258,-82.451781
25 Chambers St,40.350118,-74.662732
3333 Research Plaza,29.343808,-98.436931
2255 Kalakaua Avenue,21.2782458,-157.8320917
2630 S 300 W,40.714413,-111.900552
1041 Eddie Dowling Hwy,41.96108,-71.494611
7565 Industrial Ct,34.138312,-84.251109
808 3rd Ave W,27.499076,-82.569442
5971 Pershing Ave,28.499373,-81.303897
3400 Gulf Blvd,27.709441,-82.736735
1600 Crown Colony Dr,42.232376,-71.019877
401 Fulton Street West,42.964844,-85.681992
28100 Cabot Dr,42.499039,-83.439339
15850 John F Kennedy Blvd,29.94917,-95.33138
14509 SE Newport Way,47.568871,-122.145285
801 228th Ave SE,47.601657,-122.036938
615 12th St W,27.493279,-82.573234
201 Beach Walk St,21.279142,-157.831689
150 Kaiulani Ave,21.277846,-157.825052
100 Settlers Ridge Centre Dr,40.44145,-80.149752
201 W Morgan St,35.779082,-78.641779
231 Fayetteville St,35.777283,-78.639281
950 Peterson St,35.760503,-78.625345
5910 Whittier Dr,35.862603,-78.643641
2401 Wade Ave,35.800443,-78.663445
630 Beacon Lake Dr,35.788789,-78.573106
808 Bus Way,35.767483,-78.563464
155 Towne Center Dr,40.632138,-80.054285
1111 Taunton Ave,41.823099,-71.347614
1301 Warriner,40.496969,-89.004735
211 W Beaufort St,40.507954,-88.986429
5600 Magazine St,29.920829,-90.117642
6363 St Charles Ave,29.9347,-90.120883
1500 W Raab Rd,40.535456,-89.013791
500 Linden St,40.593417,-105.0684
60 E State St,39.960356,-82.998458
400 County Road H,42.666735,-88.524261
3700 Wailea Alanui Dr,20.68760677,-156.4428675
1500 W Raab Rd,40.534785,-89.011493
300 Monroe Ave NW,42.969202,-85.670457
50 Ottawa Ave NW,42.963679,-85.670993
10 Commerce Ave SW,42.962871,-85.668737
101 W 8th St,35.61323,-87.034614
1350 Post Rd,41.742755,-71.428289
37 Caldwell Pl,40.663848,-74.216585
435 S Tryon St,35.223874,-80.846273
1000 Cherrington Pkwy,40.492883,-80.200182
5811 S College Ave,40.505604,-105.078041
6001 N Western Ave,35.533862,-97.531053
42 Orchard Hill Park Dr,42.525121,-71.713346
137 Littleton Rd,42.5703,-71.41896
225 Franklin St,42.260546,-71.794678
5 N Paca St,39.290036,-76.621894
622 W Fayette St,39.290764,-76.62439
646 West Pratt Street,39.28651,-76.624935
500 West Redwood Street,39.28808,-76.622679
4001 W McNichols Rd,42.41423,-83.1364
610 Opperman Dr,44.825192,-93.112679
1810 Chapel Ave W,39.934849,-75.029991
4400 College Park Dr,30.563925,-97.658312
2200 Clarendon Blvd,38.890342,-77.085782
2231 Crystal Dr,38.85424,-77.049408
19802 62nd Ave S,47.424222,-122.256619
400 S 43rd St,47.443255,-122.212445
4033 Talbot Rd S,47.444606,-122.214491
300 Femrite Dr,43.054704,-89.321148
9540 W Irving Park Rd,41.955233,-87.865268
1007 Hawkins Ave,35.49416,-79.180591
6400 Hoadly Rd,38.672391,-77.396964
14240 62nd St N,27.901732,-82.721249
3801 Liberty Heights Ave,39.326834,-76.681801
8606 Philadelphia Rd,39.334156,-76.495725
11701 Ulysses Ln NE,45.183283,-93.237039
1400 Sumter St,34.004883,-81.032931
1100 Lady St,34.002107,-81.035726
3835 Cross Creek Rd,34.035802,-118.686393
5625 Harney Rd,27.988197,-82.392164
1 Nissan Way,35.940203,-86.813764
110 S 10th St,47.253809,-122.437429
1801 Dock St,47.245934,-122.43398
400 15th St,39.742113,-104.991416
1 Union Pl,41.769417,-72.681825
555 12th St NW,38.896703,-77.027621
2400 Browns Bridge Rd,34.275207,-83.85946
2310 Barrett Lakes Blvd N,34.010005,-84.577162
75 State St,42.358449,-71.055089
1 Plum Island Turnpike,42.799163,-70.847133
107 Taunton St,42.032751,-71.311914
1329 Huffman Mill Rd,36.063557,-79.503697
4575 Military Trail,26.892152,-80.102668
14 Seminary St,44.015999,-73.165412
1000 4th Ave,47.606684,-122.332664
516 Harrison St,47.622085,-122.347124
79 Route 17K,41.504105,-74.068916
